Developer,Genre,Name,Platform,Publisher,Rating,Year of Release,Critic Count,Critic Score,EU Sales,Global Sales,JP Sales,NA Sales,Other Sales,Rank,User Count,User Score
Rockstar North,Action,Grand Theft Auto V,PS4,Take-Two Interactive,M,2013,58,97,5.14,16.27,0.06,9.66,1.41,45,3711,8.1
Rockstar North,Action,Grand Theft Auto V,PS4,Take-Two Interactive,M,2014,66,97,6.31,12.61,0.38,3.96,1.97,45,2899,8.3
Rockstar North,Action,Grand Theft Auto V,PS4,Take-Two Interactive,M,2014,14,97,2.19,5.48,0,2.81,0.47,45,764,7.9
Rockstar North,Action,Grand Theft Auto V,PS4,Take-Two Interactive,M,2015,57,96,0.69,1.17,0,0.39,0.09,45,3756,7.9
Polyphony Digital,Racing,Gran Turismo 4,PS2,Sony Computer Entertainment,E,2004,74,89,0.01,11.66,1.1,3.01,7.53,48,272,8.5
Nintendo,Platform,Super Mario Galaxy,Wii,Nintendo,E,2007,73,97,3.35,11.35,1.2,6.06,0.74,49,2147,8.9
Rockstar North,Action,Grand Theft Auto IV,X360,Take-Two Interactive,M,2008,86,98,3.07,11.01,0.14,6.76,1.03,52,2951,7.9
Rockstar North,Action,Grand Theft Auto IV,X360,Take-Two Interactive,M,2008,64,98,3.69,10.5,0.44,4.76,1.61,52,2833,7.5
Rockstar Toronto,Action,Grand Theft Auto IV,X360,Take-Two Interactive,M,2008,40,90,0.79,0.88,0,0.01,0.07,52,2299,6.6
Polyphony Digital,Racing,Gran Turismo,PS,Sony Computer Entertainment,E,1997,16,96,3.87,10.95,2.54,4.02,0.52,53,138,8.7
Nintendo,Platform,Super Mario 3D Land,3DS,Nintendo,E,2011,82,90,3,10.81,2.14,4.89,0.78,54,921,8.4
Polyphony Digital,Racing,Gran Turismo 5,PS3,Sony Computer Entertainment,E,2010,82,84,4.82,10.7,0.81,2.96,2.11,55,1112,7.5
Infinity Ward,Shooter,Call of Duty: Modern Warfare 2,PS3,Activision,M,2009,100,94,3.59,13.47,0.08,8.52,1.28,56,2698,6.3
Infinity Ward,Shooter,Call of Duty: Modern Warfare 2,PS3,Activision,M,2009,67,94,3.64,10.6,0.38,4.99,1.6,56,2073,6.3
Infinity Ward,Shooter,Call of Duty: Modern Warfare 2,PS3,Activision,M,2009,40,86,0.79,0.88,0,0.01,0.09,56,6430,4.2
Rockstar North,Action,Grand Theft Auto IV,PS3,Take-Two Interactive,M,2008,86,98,3.07,11.01,0.14,6.76,1.03,57,2951,7.9
Rockstar North,Action,Grand Theft Auto IV,PS3,Take-Two Interactive,M,2008,64,98,3.69,10.5,0.44,4.76,1.61,57,2833,7.5
Rockstar Toronto,Action,Grand Theft Auto IV,PS3,Take-Two Interactive,M,2008,40,90,0.79,0.88,0,0.01,0.07,57,2299,6.6
Ubisoft,Misc,Just Dance 3,Wii,Ubisoft,E10+,2011,15,74,3.11,10.12,0,5.95,1.06,61,16,7.8
Ubisoft,Misc,Just Dance 3,Wii,Ubisoft,E10+,2011,34,70,0.39,2.02,0,1.47,0.16,61,17,7.7
Ubisoft,Misc,Just Dance 3,Wii,Ubisoft,E10+,2011,5,75,0.2,0.62,0,0.33,0.09,61,7,6
Infinity Ward,Shooter,Call of Duty: Ghosts,X360,Activision,M,2013,29,73,2.56,10.25,0.04,6.73,0.91,62,2117,2.6
Infinity Ward,Shooter,Call of Duty: Ghosts,X360,Activision,M,2013,10,71,3.63,9.36,0.38,4.1,1.25,62,1047,2.6
Infinity Ward,Shooter,Call of Duty: Ghosts,X360,Activision,M,2013,49,78,1.43,3.83,0.05,1.78,0.57,62,1564,3.7
Infinity Ward,Shooter,Call of Duty: Ghosts,X360,Activision,M,2013,7,78,0.77,2.92,0,1.88,0.27,62,700,4.3
Treyarch,Shooter,Call of Duty: Ghosts,X360,Activision,M,2013,6,69,0.09,0.34,0.01,0.22,0.03,62,256,3.4
Bungie,Shooter,Halo: Reach,X360,Microsoft Game Studios,M,2010,99,91,1.95,9.86,0.08,7.04,0.79,63,2045,7.9
Nintendo,Platform,New Super Mario Bros. 2,3DS,Nintendo,E,2012,70,78,3.14,9.9,2.47,3.66,0.63,65,424,7.2
343 Industries,Shooter,Halo 4,X360,Microsoft Game Studios,M,2012,87,87,2.28,9.71,0.04,6.65,0.74,66,3260,7
SquareSoft,Role-Playing,Final Fantasy VII,PS,Sony Computer Entertainment,T,1997,20,92,2.47,9.72,3.28,3.01,0.96,67,1282,9.2
Infinity Ward,Shooter,Call of Duty: Ghosts,PS3,Activision,M,2013,29,73,2.56,10.25,0.04,6.73,0.91,68,2117,2.6
Infinity Ward,Shooter,Call of Duty: Ghosts,PS3,Activision,M,2013,10,71,3.63,9.36,0.38,4.1,1.25,68,1047,2.6
Infinity Ward,Shooter,Call of Duty: Ghosts,PS3,Activision,M,2013,49,78,1.43,3.83,0.05,1.78,0.57,68,1564,3.7
Infinity Ward,Shooter,Call of Duty: Ghosts,PS3,Activision,M,2013,7,78,0.77,2.92,0,1.88,0.27,68,700,4.3
Treyarch,Shooter,Call of Duty: Ghosts,PS3,Activision,M,2013,6,69,0.09,0.34,0.01,0.22,0.03,68,256,3.4
Ubisoft,Misc,Just Dance 2,Wii,Ubisoft,E10+,2010,24,74,2.85,9.44,0.01,5.8,0.78,69,24,7.3
Polyphony Digital,Racing,Gran Turismo 2,PS,Sony Computer Entertainment,T,1999,23,93,3.42,9.49,1.69,3.88,0.5,70,135,9
Infinity Ward,Shooter,Call of Duty 4: Modern Warfare,X360,Activision,M,2007,70,94,2.36,9.31,0.13,5.93,0.9,71,1320,8.4
Infinity Ward,Shooter,Call of Duty 4: Modern Warfare,X360,Activision,M,2007,44,94,2.26,6.68,0.28,3.11,1.03,71,993,8.4
Infinity Ward,Shooter,Call of Duty 4: Modern Warfare,X360,Activision,M,2007,40,92,1.12,1.15,0,0,0.03,71,2360,8.5
n-Space,Shooter,Call of Duty 4: Modern Warfare,X360,Activision,T,2007,22,75,0.01,1.05,0.01,0.95,0.08,71,36,6.9
Rare Ltd.,Platform,Donkey Kong Country,SNES,Nintendo,E,2003,26,78,0.48,2.04,0.29,1.2,0.07,72,53,8.9
Nintendo,Simulation,Animal Crossing: New Leaf,3DS,Nintendo,E,2012,70,88,2.36,9.16,4.39,2.03,0.39,74,626,8.7
Hudson Soft,Misc,Mario Party DS,DS,Nintendo,E,2007,27,72,1.85,8.91,1.98,4.4,0.68,75,85,7.8
Bethesda Game Studios,Role-Playing,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,M,2011,89,96,2.79,8.79,0.1,5.05,0.85,76,3589,8.4
Bethesda Game Studios,Role-Playing,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,M,2011,16,92,2.6,6.41,0.25,2.55,1,76,2527,6.4
Bethesda Game Studios,Role-Playing,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,M,2011,32,94,2.12,3.88,0,1.16,0.6,76,9073,8.1
EA Sports,Sports,FIFA 16,PS4,Electronic Arts,E,2015,42,82,6.12,8.57,0.06,1.12,1.28,78,896,4.3
EA Sports,Sports,FIFA 16,PS4,Electronic Arts,E,2015,45,84,2.12,3.25,0,0.89,0.24,78,459,4.4
EA Sports,Sports,FIFA 16,PS4,Electronic Arts,E,2015,10,81,0.13,0.2,0,0.06,0.01,78,296,4.4
Nd Cube,Misc,Wii Party,Wii,Nintendo,E,2010,42,68,3.47,8.38,2.49,1.75,0.67,79,54,7.4
Bungie Software,Shooter,Halo 2,XB,Microsoft Game Studios,M,2004,91,95,1.53,8.49,0.05,6.82,0.08,80,1218,8.2
Microsoft Game Studios,Shooter,Halo 2,XB,Microsoft Game Studios,M,2007,32,72,0.06,0.09,0,0.01,0.02,80,216,5.6
Hudson,Misc,Mario Party 8,Wii,Nintendo,E,2007,41,62,2.24,8.27,1.58,3.74,0.7,81,190,6.3
Electronic Arts,Action,FIFA Soccer 13,PS3,Electronic Arts,E,2012,37,88,5.01,8.16,0.13,1.06,1.97,83,348,6.6
Electronic Arts,Action,FIFA Soccer 13,PS3,Electronic Arts,E,2012,48,90,3.47,5.16,0.03,1.09,0.57,83,403,6.1
Electronic Arts,Action,FIFA Soccer 13,PS3,Electronic Arts,E,2012,28,69,0.27,0.47,0,0.17,0.04,83,49,6.2
Electronic Arts,Action,FIFA Soccer 13,PS3,Electronic Arts,E,2012,9,57,0.28,0.44,0.05,0,0.11,83,89,4.1
Electronic Arts,Action,FIFA Soccer 13,PS3,Electronic Arts,E,2012,7,86,0.31,0.4,0,0.02,0.07,83,286,6.6
Electronic Arts,Action,FIFA Soccer 13,PS3,Electronic Arts,E,2012,4,68,0.2,0.29,0,0.06,0.03,83,16,3.7
The Sims Studio,Simulation,The Sims 3,PC,Electronic Arts,T,2009,75,86,6.42,8.01,0,0.99,0.6,84,886,7.6
The Sims Studio,Simulation,The Sims 3,PC,Electronic Arts,T,2010,42,76,0.81,2.28,0,1.27,0.2,84,71,7.1
The Sims Studio,Simulation,The Sims 3,PC,Electronic Arts,T,2010,39,78,0.89,1.94,0.02,0.73,0.3,84,55,6.4
Exient Entertainment,Simulation,The Sims 3,PC,Electronic Arts,E,2010,9,73,0.22,0.67,0,0.38,0.06,84,20,6.4
EA Games,Simulation,The Sims 3,PC,Electronic Arts,T,2011,29,52,0.37,0.76,0.03,0.3,0.07,84,31,3.3
SquareSoft,Role-Playing,Final Fantasy X,PS2,Sony Computer Entertainment,T,2001,53,92,2.07,8.05,2.73,2.91,0.33,87,1056,8.7
SquareSoft,Role-Playing,Final Fantasy VIII,PS,SquareSoft,T,1999,24,90,1.72,7.86,3.63,2.28,0.23,88,644,8.6
Game Freak,Role-Playing,Pokémon Platinum Version,DS,Nintendo,E,2008,46,83,1.72,7.72,2.69,2.76,0.54,89,203,8.5
Rockstar Leeds,Action,Grand Theft Auto: Liberty City Stories,PSP,Take-Two Interactive,M,2005,65,88,2.81,7.69,0.24,2.9,1.73,91,451,7.6
Rockstar Leeds,Action,Grand Theft Auto: Liberty City Stories,PSP,Take-Two Interactive,M,2006,49,78,1.4,3.54,0.07,1.56,0.5,91,112,7.8
Nintendo EAD Tokyo,Platform,Super Mario Galaxy 2,Wii,Nintendo,E,2010,87,97,2.35,7.51,0.98,3.56,0.62,92,1854,9.1
Sledgehammer Games,Shooter,Call of Duty: Advanced Warfare,PS4,Activision,M,2014,39,83,3.48,7.66,0.14,2.81,1.23,94,1443,5.7
Sledgehammer Games,Shooter,Call of Duty: Advanced Warfare,PS4,Activision,M,2014,53,81,1.55,5.27,0.01,3.22,0.48,94,898,5.4
Sledgehammer Games,Shooter,Call of Duty: Advanced Warfare,PS4,Activision,M,2014,18,78,0.23,0.41,0,0.15,0.03,94,1136,4.5
Treyarch,Shooter,Call of Duty: World at War,X360,Activision,M,2008,84,84,1.88,7.38,0,4.81,0.69,99,580,7.6
Treyarch,Shooter,Call of Duty: World at War,X360,Activision,M,2008,45,85,1.83,5.39,0,2.73,0.83,99,409,7.6
Exakt,Shooter,Call of Duty: World at War,X360,Activision,M,2008,19,83,0.58,1.94,0,1.17,0.18,99,78,7.6
n-Space,Shooter,Call of Duty: World at War,X360,Activision,T,2008,12,75,0.25,0.89,0,0.56,0.08,99,20,7.8
Treyarch,Shooter,Call of Duty: World at War,X360,Activision,M,2008,36,83,0.14,0.18,0,0.02,0.03,99,721,7.5
EA DICE,Shooter,Battlefield 3,X360,Electronic Arts,M,2011,57,84,2.11,7.32,0.06,4.46,0.69,100,2142,7.4
EA DICE,Shooter,Battlefield 3,X360,Electronic Arts,M,2011,38,85,2.89,7.17,0.35,2.85,1.08,100,1761,7.5
EA DICE,Shooter,Battlefield 3,X360,Electronic Arts,M,2011,61,89,1.43,2.78,0,0.89,0.46,100,4926,7.5
Nintendo,Action,The Legend of Zelda: Twilight Princess,Wii,Nintendo,T,2006,73,95,2.14,7.15,0.6,3.74,0.68,101,1658,9
Nintendo,Action,The Legend of Zelda: Twilight Princess,Wii,Nintendo,T,2006,16,96,0.36,1.59,0.04,1.15,0.04,101,568,9.2
Ubisoft Paris,Misc,Just Dance,Wii,Ubisoft,E10+,2009,21,49,2.99,7.2,0,3.48,0.73,103,110,8
EA DICE,Shooter,Battlefield 3,PS3,Electronic Arts,M,2011,57,84,2.11,7.32,0.06,4.46,0.69,104,2142,7.4
EA DICE,Shooter,Battlefield 3,PS3,Electronic Arts,M,2011,38,85,2.89,7.17,0.35,2.85,1.08,104,1761,7.5
EA DICE,Shooter,Battlefield 3,PS3,Electronic Arts,M,2011,61,89,1.43,2.78,0,0.89,0.46,104,4926,7.5
EA Black Box,Racing,Need for Speed Underground,PS2,Electronic Arts,E,2003,33,85,2.83,7.2,0.08,3.27,1.02,105,171,8.6
Electronic Arts,Racing,Need for Speed Underground,PS2,Electronic Arts,E,2003,25,83,0.55,1.71,0,1.09,0.07,105,35,8.7
Electronic Arts,Racing,Need for Speed Underground,PS2,Electronic Arts,E,2003,24,83,0.48,1.21,0.01,0.69,0.03,105,45,9
Pocketeers,Racing,Need for Speed Underground,PS2,Electronic Arts,E,2003,9,77,0.08,0.29,0,0.21,0.01,105,25,8.2
Black Box,Racing,Need for Speed Underground,PS2,Electronic Arts,E,2003,24,82,0.04,0.05,0,0,0.01,105,307,8.3
Namco,Fighting,Tekken 3,PS,Sony Computer Entertainment,T,1998,15,96,2.22,7.16,1.4,3.27,0.29,106,367,9.1
Naughty Dog,Platform,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,E,1998,12,91,1.75,7.13,1.42,3.68,0.28,107,432,8.9
HAL Labs,Fighting,Super Smash Bros. Melee,GC,Nintendo,T,2001,38,92,1.04,7.07,1.39,4.41,0.22,108,568,9.1
Nintendo,Racing,Mario Kart 8,WiiU,Nintendo,E,2014,82,88,2.15,7.09,1.28,3.15,0.51,109,1599,9.1
Bethesda Game Studios,Role-Playing,Fallout 4,PS4,Bethesda Softworks,M,2015,58,87,3.27,7.16,0.24,2.53,1.13,110,4228,6.5
Bethesda Game Studios,Role-Playing,Fallout 4,PS4,Bethesda Softworks,M,2015,39,88,1.32,4.22,0.01,2.51,0.38,110,1749,6.2
Bethesda Game Studios,Role-Playing,Fallout 4,PS4,Bethesda Softworks,M,2015,38,84,0.67,1.29,0,0.51,0.1,110,7512,5.4
Ubisoft,Misc,Just Dance 4,Wii,Ubisoft,E10+,2012,10,74,2.16,6.76,0,4.05,0.55,112,28,7.3
Ubisoft,Misc,Just Dance 4,Wii,Ubisoft,E10+,2012,23,77,0.19,1.18,0,0.9,0.09,112,36,7.7
Ubisoft,Misc,Just Dance 4,Wii,Ubisoft,E10+,2012,5,77,0.11,0.43,0,0.26,0.06,112,29,7.1
Ubisoft Paris,Misc,Just Dance 4,Wii,Ubisoft,E10+,2012,14,66,0.13,0.37,0,0.21,0.03,112,37,7.8
EA Canada,Sports,FIFA 14,PS3,Electronic Arts,E,2013,37,86,4.24,6.47,0.07,0.78,1.37,113,576,4.3
EA Canada,Sports,FIFA 14,PS3,Electronic Arts,E,2013,41,84,2.89,4.22,0.01,0.92,0.4,113,435,4.2
EA Canada,Sports,FIFA 14,PS3,Electronic Arts,E,2013,26,87,1.85,3.01,0.11,0.61,0.44,113,616,6.3
EA Canada,Sports,FIFA 14,PS3,Electronic Arts,E,2013,22,88,0.66,1.16,0,0.41,0.09,113,328,5.8
EA Canada,Sports,FIFA 14,PS3,Electronic Arts,E,2013,6,87,0.36,0.4,0,0.01,0.03,113,441,4.6
EA Canada,Racing,Need for Speed Underground 2,PS2,Electronic Arts,E,2004,39,82,3.02,6.9,0.08,2.71,1.09,114,132,8.6
EA Canada,Racing,Need for Speed Underground 2,PS2,Electronic Arts,E,2004,35,77,0.8,2.28,0,1.38,0.1,114,27,8.7
Pocketeers,Racing,Need for Speed Underground 2,PS2,Electronic Arts,E,2004,8,72,0.12,0.43,0,0.31,0.01,114,13,8.2
EA Canada,Racing,Need for Speed Underground 2,PS2,Electronic Arts,T,2004,31,82,0.06,0.07,0,0,0.01,114,407,8.5
EA Canada,Racing,Need for Speed Underground 2,PS2,Electronic Arts,E,2005,13,65,0.02,0.13,0,0.11,0.01,114,25,7
EA LA,Shooter,Medal of Honor: Frontline,PS2,Electronic Arts,T,2002,29,88,2.75,6.83,0.17,2.93,0.99,115,135,8.5
EA LA,Shooter,Medal of Honor: Frontline,PS2,Electronic Arts,T,2002,18,81,0.43,1.49,0,1,0.06,115,23,6.9
Dreamworks Games,Shooter,Medal of Honor: Frontline,PS2,Electronic Arts,T,2002,16,80,0.12,0.59,0,0.46,0.02,115,16,7.9
Naughty Dog,Action,Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,T,2011,97,92,2.75,6.74,0.19,2.77,1.03,116,3712,8.3
"Pipeworks Software, Inc.",Sports,Zumba Fitness,Wii,505 Games,E,2010,10,42,0.45,2.37,0,1.74,0.18,118,16,5.5
Epic Games,Shooter,Gears of War 2,X360,Microsoft Game Studios,M,2008,90,93,1.9,6.75,0.06,4.15,0.64,119,2739,7.7
Naughty Dog,Action,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,T,2009,105,96,2.2,6.66,0.21,3.27,0.98,120,5187,8.8
Infinity Ward,Shooter,Call of Duty 4: Modern Warfare,PS3,Activision,M,2007,70,94,2.36,9.31,0.13,5.93,0.9,121,1320,8.4
Infinity Ward,Shooter,Call of Duty 4: Modern Warfare,PS3,Activision,M,2007,44,94,2.26,6.68,0.28,3.11,1.03,121,993,8.4
Infinity Ward,Shooter,Call of Duty 4: Modern Warfare,PS3,Activision,M,2007,40,92,1.12,1.15,0,0,0.03,121,2360,8.5
n-Space,Shooter,Call of Duty 4: Modern Warfare,PS3,Activision,T,2007,22,75,0.01,1.05,0.01,0.95,0.08,121,36,6.9
Nintendo,Misc,Big Brain Academy,DS,Nintendo,E,2005,45,74,2.75,6.62,1.6,1.66,0.62,123,27,7.4
Rockstar San Diego,Action,Red Dead Redemption,PS3,Take-Two Interactive,M,2010,73,95,2.53,6.49,0.17,2.79,0.99,124,2456,8.8
Rockstar San Diego,Action,Red Dead Redemption,PS3,Take-Two Interactive,M,2010,96,95,1.95,6.32,0.09,3.7,0.58,124,2316,9
EA Sports,Sports,FIFA 15,PS4,Electronic Arts,E,2014,47,82,4.33,6.08,0.05,0.8,0.9,125,988,5.7
EA Sports,Sports,FIFA 15,PS4,Electronic Arts,E,2014,33,82,1.42,2.18,0,0.6,0.16,125,347,5.4
EA Sports,Sports,FIFA 15,PS4,Electronic Arts,E,2014,9,82,0.27,0.28,0,0,0.02,125,383,4.2
Retro Studios,Platform,Donkey Kong Country Returns,Wii,Nintendo,E,2010,77,87,1.79,6.44,1.03,3.17,0.46,126,368,8.6
